từ mới,cách đọc,nghĩa tiếng việt,ví dụ sử dụng minh hoạ
穴,あな,lỗ; hang,壁に小さな穴が開いている。
油,あぶら,dầu; mỡ,フライパンに油を入れる。
胃,い,dạ dày,食べ過ぎて胃が痛い。
息,いき,hơi thở,深く息を吸ってください。
裏,うら,mặt sau; mặt trái,紙の裏に名前を書く。
噂,うわさ,tin đồn,その噂は本当ですか。
餌,えさ,thức ăn cho động vật,毎朝、猫に餌をやる。
枝,えだ,cành cây,鳥が木の枝に止まった。
襟,えり,cổ áo,シャツの襟を直す。
奥,おく,phía trong sâu; bên trong cùng,箱の奥に写真がある。
親,おや,cha mẹ,親に電話をかける。
課,か,bài; khoa; phòng ban,今日の課を復習する。
数,かず,số; số lượng,参加者の数を数える。
形,かたち,hình dạng; hình thức,雲の形が変わった。
壁,かべ,bức tường,壁に絵を飾った。
雷,かみなり,sấm; sét,昨夜は雷が鳴った。
皮,かわ,da; vỏ,りんごの皮をむく。
缶,かん,lon; hộp kim loại,空き缶を捨てる。
曲,きょく,bài hát; bản nhạc,この曲をよく聞く。
雲,くも,mây,空に白い雲が浮かんでいる。
煙,けむり,khói,窓から煙が出ている。
塩,しお,muối,スープに塩を少し入れる。
島,しま,đảo,夏休みに島へ行った。
城,しろ,lâu đài; thành,古い城を見学した。
隅,すみ,góc,部屋の隅に机を置く。
咳,せき,ho; cơn ho,風邪で咳が出る。
底,そこ,đáy; dưới cùng,湖の底は深い。
像,ぞう,tượng; hình ảnh,駅前に銅像がある。
旅,たび,chuyến đi; hành trình,長い旅に出る。
妻,つま,vợ,妻と買い物に行く。
毒,どく,độc; chất độc,この植物には毒がある。
謎,なぞ,điều bí ẩn; câu đố,事件の謎を解く。
鍋,なべ,nồi; món lẩu,大きな鍋でスープを作る。
波,なみ,sóng,今日は波が高い。
涙,なみだ,nước mắt,うれしくて涙が出た。
庭,にわ,vườn,庭に花を植える。
熱,ねつ,nhiệt; sốt,熱があるので学校を休む。
箸,はし,đũa,箸でご飯を食べる。
畑,はたけ,ruộng; nương,畑で野菜を育てる。
羽,はね,lông vũ; cánh,鳥の羽が落ちている。
幅,はば,chiều rộng; bề ngang,この道は幅が広い。
膝,ひざ,đầu gối,転んで膝をけがした。
袋,ふくろ,túi; bao,袋に本を入れる。
骨,ほね,xương,魚の骨に気をつける。
棒,ぼう,gậy; que,長い棒で枝を落とす。
孫,まご,cháu,週末に孫が遊びに来る。
街,まち,khu phố; thành phố,夜の街を歩く。
湖,みずうみ,hồ,湖でボートに乗った。
娘,むすめ,con gái,娘は大学生です。
胸,むね,ngực,走ると胸が苦しくなる。
床,ゆか,sàn nhà,床をきれいに掃除する。
夢,ゆめ,giấc mơ; ước mơ,将来の夢を語る。
寮,りょう,ký túc xá,大学の寮に住んでいる。
量,りょう,lượng; khối lượng,料理の量が多すぎる。
列,れつ,hàng; dãy,列に並んで待つ。
合図,あいず（する）,dấu hiệu; ra hiệu,先生の合図で始める。
青空,あおぞら,trời xanh,青空の下で昼ご飯を食べた。
以外,いがい,ngoài; ngoại trừ,日曜日以外は働いている。
以後,いご,từ sau đó; kể từ đó,今後は午後六時以後に入れない。
以降,いこう,từ sau; kể từ,来月以降に計画を始める。
維持,いじ（する）,duy trì,健康を維持するために運動する。
意識,いしき（する）,ý thức; nhận thức,安全を意識して運転する。
以前,いぜん,trước đây; trước,以前ここに住んでいた。
位置,いち（する）,vị trí; nằm ở,ホテルは駅の南に位置する。
一流,いちりゅう,hạng nhất; hàng đầu,彼は一流の料理人だ。
一般,いっぱん,thông thường; đại chúng,一般の人も参加できる。
移動,いどう（する）,di chuyển,電車で東京へ移動する。
以内,いない,trong vòng; không quá,一週間以内に返事してください。
田舎,いなか,nông thôn; quê,祖父母は田舎に住んでいる。
印刷,いんさつ（する）,in ấn,資料を十部印刷する。
印象,いんしょう,ấn tượng,彼の話は印象に残った。
飲料,いんりょう,đồ uống,店で飲料を買う。
内側,うちがわ,phía trong; mặt trong,ドアの内側に鍵がある。
宇宙,うちゅう,vũ trụ,宇宙の研究に興味がある。
影響,えいきょう（する）,ảnh hưởng,天気が試合に影響する。
営業,えいぎょう（する）,kinh doanh; hoạt động bán hàng,この店は九時から営業する。
栄養,えいよう,dinh dưỡng,栄養のバランスを考える。
笑顔,えがお,khuôn mặt tươi cười; nụ cười,彼女は笑顔で答えた。
延期,えんき（する）,hoãn; trì hoãn,雨で試合を延期する。
演奏,えんそう（する）,biểu diễn nhạc,舞台でピアノを演奏する。
遠慮,えんりょ（する）,ngại; giữ ý; khách sáo,遠慮しないで食べてください。
往復,おうふく（する）,khứ hồi; đi và về,東京と大阪を往復する。
応募,おうぼ（する）,ứng tuyển; đăng ký dự tuyển,アルバイトに応募する。
応用,おうよう（する）,ứng dụng,学んだ知識を仕事に応用する。
大勢,おおぜい,đông người; nhiều người,会場に大勢の人が集まった。
親子,おやこ,cha mẹ và con cái,親子で公園へ行く。
温泉,おんせん,suối nước nóng,休みに温泉へ行った。
会員,かいいん,hội viên; thành viên,会員は料金が安くなる。
絵画,かいが,hội họa; tranh vẽ,美術館で絵画を見る。
会議,かいぎ（する）,cuộc họp; họp,午後に会議を開く。
会計,かいけい（する）,kế toán; thanh toán,食事の後で会計をする。
解決,かいけつ（する）,giải quyết,話し合いで問題を解決する。
回収,かいしゅう（する）,thu hồi; thu gom,古い製品を回収する。
開始,かいし（する）,bắt đầu,九時に授業を開始する。
開場,かいじょう（する）,mở cửa địa điểm tổ chức,会場は六時に開場する。
回数,かいすう,số lần,練習の回数を増やす。
解説,かいせつ（する）,giải thích; thuyết minh,専門家がニュースを解説する。
階段,かいだん,cầu thang,階段をゆっくり上る。
開店,かいてん（する）,mở cửa hàng; khai trương,新しい店が来週開店する。
価格,かかく,giá cả; giá bán,商品の価格を比べる。
